distance,node,tag,rssi,date_time
1,376A73,2D341E34,-63,2022-09-19T01:12:30.000000Z
1,377756,2D341E34,-47,2022-09-19T01:12:31.000000Z
1,376A73,55332D78,-44,2022-09-19T01:12:44.000000Z
1,377756,55332D78,-41,2022-09-19T01:12:50.000000Z
1,377756,2D341E34,-48,2022-09-19T01:12:57.000000Z
1,376A73,2D341E34,-60,2022-09-19T01:13:02.000000Z
1,376A73,55332D78,-43,2022-09-19T01:13:05.000000Z
1,376A73,2D341E34,-58,2022-09-19T01:13:17.000000Z
1,376A73,2D341E34,-58,2022-09-19T01:13:23.000000Z
1,377756,55332D78,-42,2022-09-19T01:13:32.000000Z
1,376A73,2D341E34,-60,2022-09-19T01:13:38.000000Z
1,377756,2D341E34,-49,2022-09-19T01:13:39.000000Z
1,377756,2D341E34,-48,2022-09-19T01:13:49.000000Z
1,376A73,2D341E34,-60,2022-09-19T01:13:54.000000Z
1,377756,2D341E34,-47,2022-09-19T01:13:55.000000Z
1,377756,55332D78,-40,2022-09-19T01:14:08.000000Z
1,377756,2D341E34,-48,2022-09-19T01:14:10.000000Z
1,377756,55332D78,-40,2022-09-19T01:14:14.000000Z
1,376A73,2D341E34,-61,2022-09-19T01:14:15.000000Z
1,376A73,55332D78,-41,2022-09-19T01:14:19.000000Z
2,377756,55332D78,-48,2022-09-19T01:15:32.000000Z
2,376A73,55332D78,-48,2022-09-19T01:15:37.000000Z
2,377756,55332D78,-48,2022-09-19T01:15:37.000000Z
2,377756,2D341E34,-54,2022-09-19T01:15:39.000000Z
2,376A73,55332D78,-47,2022-09-19T01:15:47.000000Z
2,376A73,55332D78,-47,2022-09-19T01:15:53.000000Z
2,377756,55332D78,-46,2022-09-19T01:15:53.000000Z
2,377756,55332D78,-46,2022-09-19T01:15:58.000000Z
2,377756,2D341E34,-53,2022-09-19T01:16:00.000000Z
2,377756,55332D78,-47,2022-09-19T01:16:09.000000Z
2,376A73,2D341E34,-59,2022-09-19T01:16:11.000000Z
2,377756,2D341E34,-52,2022-09-19T01:16:32.000000Z
2,376A73,55332D78,-47,2022-09-19T01:16:34.000000Z
2,376A73,2D341E34,-59,2022-09-19T01:16:37.000000Z
2,377756,2D341E34,-52,2022-09-19T01:16:37.000000Z
2,377756,2D341E34,-51,2022-09-19T01:16:53.000000Z
2,376A73,2D341E34,-58,2022-09-19T01:16:53.000000Z
2,376A73,55332D78,-47,2022-09-19T01:16:55.000000Z
2,376A73,2D341E34,-58,2022-09-19T01:16:58.000000Z
2,377756,2D341E34,-51,2022-09-19T01:16:58.000000Z
2,376A73,55332D78,-47,2022-09-19T01:17:00.000000Z
2,377756,55332D78,-47,2022-09-19T01:17:01.000000Z
2,376A73,2D341E34,-58,2022-09-19T01:17:14.000000Z
2,376A73,55332D78,-47,2022-09-19T01:17:16.000000Z
2,377756,55332D78,-46,2022-09-19T01:17:16.000000Z
2,377756,55332D78,-46,2022-09-19T01:17:22.000000Z
3,376A73,55332D78,-50,2022-09-19T01:18:35.000000Z
3,376A73,2D341E34,-61,2022-09-19T01:18:43.000000Z
3,377756,2D341E34,-62,2022-09-19T01:18:43.000000Z
3,377756,55332D78,-53,2022-09-19T01:18:45.000000Z
